"filename", "language", "C#", "JSON", "comment", "blank", "total"
"e:\Github\WW3\WW3\Assets\_Content\Scripts\.vs\ProjectSettings.json", "JSON", 0, 3, 0, 0, 3
"e:\Github\WW3\WW3\Assets\_Content\Scripts\.vs\VSWorkspaceState.json", "JSON", 0, 7, 0, 0, 7
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Cannon\CannonBall.cs", "C#", 27, 0, 0, 5, 32
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Cannon\CannonController.cs", "C#", 76, 0, 16, 21, 113
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Cannon\CannonSounds.cs", "C#", 30, 0, 0, 10, 40
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Cannon\Die.cs", "C#", 32, 0, 1, 10, 43
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Cannon\FireCannon.cs", "C#", 25, 0, 3, 8, 36
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Cannon\Particles.cs", "C#", 22, 0, 0, 4, 26
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Cannon\TakeDamage.cs", "C#", 26, 0, 0, 4, 30
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\ActiveUser.cs", "C#", 81, 0, 2, 19, 102
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\DataContainers\GameData.cs", "C#", 17, 0, 0, 1, 18
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\DataContainers\Signal.cs", "C#", 14, 0, 0, 0, 14
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\FirebaseLoad.cs", "C#", 47, 0, 2, 12, 61
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\FirebaseManager.cs", "C#", 71, 0, 0, 18, 89
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\FirebaseSave.cs", "C#", 20, 0, 0, 3, 23
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\FirebaseUserAuth.cs", "C#", 88, 0, 0, 18, 106
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\GameData.cs", "C#", 48, 0, 0, 6, 54
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\Interfaces\IAcceptSignal.cs", "C#", 8, 0, 0, 1, 9
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Data\Interfaces\ISendSignal.cs", "C#", 8, 0, 0, 1, 9
"e:\Github\WW3\WW3\Assets\_Content\Scripts\GameManager.cs", "C#", 201, 0, 2, 42, 245
"e:\Github\WW3\WW3\Assets\_Content\Scripts\GameSlot.cs", "C#", 70, 0, 0, 17, 87
"e:\Github\WW3\WW3\Assets\_Content\Scripts\InGameInputUI.cs", "C#", 67, 0, 0, 15, 82
"e:\Github\WW3\WW3\Assets\_Content\Scripts\InGameUI.cs", "C#", 58, 0, 6, 13, 77
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Managers\DataManager.cs", "C#", 94, 0, 2, 23, 119
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Managers\GameStateManager.cs", "C#", 34, 0, 0, 8, 42
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Menu\JoinPanel.cs", "C#", 82, 0, 7, 24, 113
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Menu\Lobby.cs", "C#", 72, 0, 1, 19, 92
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Menu\MainMenuManager.cs", "C#", 169, 0, 0, 39, 208
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Menu\MessagePanel.cs", "C#", 12, 0, 0, 2, 14
"e:\Github\WW3\WW3\Assets\_Content\Scripts\Menu\SignOut.cs", "C#", 12, 0, 0, 1, 13
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\CloseWindow.cs", "C#", 15, 0, 0, 1, 16
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\DataManager.cs", "C#", 105, 0, 14, 25, 144
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\DataWrapper.cs", "C#", 13, 0, 1, 1, 15
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\FirebaseManager.cs", "C#", 106, 0, 4, 20, 130
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\FirebaseUtility.cs", "C#", 159, 0, 4, 33, 196
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\JsonManager.cs", "C#", 84, 0, 55, 29, 168
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\MainMenu.cs", "C#", 116, 0, 2, 27, 145
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\Player.cs", "C#", 10, 0, 0, 1, 11
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseProject\PlayerData.cs", "C#", 12, 0, 0, 1, 13
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\FirebaseTest.cs", "C#", 54, 0, 2, 10, 66
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\LevelManager.cs", "C#", 15, 0, 0, 2, 17
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\NameTagManager.cs", "C#", 33, 0, 2, 8, 43
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\PlayerController.cs", "C#", 12, 0, 2, 5, 19
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\PlayerInfo.cs", "C#", 14, 0, 0, 3, 17
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\PlayerKeyboard.cs", "C#", 18, 0, 2, 5, 25
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\PlayerMouse.cs", "C#", 29, 0, 2, 6, 37
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\PlayerMovement.cs", "C#", 22, 0, 1, 6, 29
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\SaveManager.cs", "C#", 93, 0, 55, 34, 182
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\SaveManagerOld.cs", "C#", 107, 0, 27, 32, 166
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\SaveNames.cs", "C#", 22, 0, 1, 4, 27
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OLD\Tools.cs", "C#", 28, 0, 9, 7, 44
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OmniLib\Math\Vector2.cs", "C#", 37, 0, 15, 7, 59
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OmniWorld\MeshGenerator.cs", "C#", 7, 0, 0, 2, 9
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OmniWorld\PathData.cs", "C#", 33, 0, 0, 6, 39
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OmniWorld\SegmentData.cs", "C#", 69, 0, 9, 21, 99
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OmniWorld\Terrain.cs", "C#", 94, 0, 10, 23, 127
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OmniWorld\TerrainData.cs", "C#", 9, 0, 0, 3, 12
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OmniWorld\TerrainFill.cs", "C#", 7, 0, 0, 2, 9
"e:\Github\WW3\WW3\Assets\_Content\Scripts\OmniWorld\TestScript.cs", "C#", 39, 0, 0, 15, 54
"Total", "-", 2873, 10, 259, 683, 3825